gene_callers_id	detection
37668	DETECTED
37669	DETECTED
37670	DETECTED
37671	DETECTED
37672	DETECTED
37673	DETECTED
37674	DETECTED
37675	DETECTED
37676	DETECTED
37677	NOT DETECTED
37678	DETECTED
37679	DETECTED
37680	DETECTED
37681	DETECTED
37682	DETECTED
37683	DETECTED
37684	DETECTED
37685	DETECTED
37686	DETECTED
37687	DETECTED
37688	DETECTED
37689	DETECTED
37690	DETECTED
37691	DETECTED
37692	DETECTED
37693	DETECTED
37694	DETECTED
37695	DETECTED
37696	DETECTED
37697	DETECTED
37698	DETECTED
37699	NOT DETECTED
37700	DETECTED
37701	DETECTED
37702	DETECTED
37703	DETECTED
37704	NOT DETECTED
37705	DETECTED
37706	NOT DETECTED
37707	DETECTED
37708	DETECTED
37709	DETECTED
37710	DETECTED
37711	DETECTED
37712	DETECTED
37713	DETECTED
37714	DETECTED
37715	DETECTED
37716	DETECTED
37717	DETECTED
37718	DETECTED
37719	DETECTED
37720	DETECTED
37721	DETECTED
37722	DETECTED
37723	DETECTED
37724	NOT DETECTED
37725	DETECTED
37726	DETECTED
37727	DETECTED
37728	DETECTED
37729	DETECTED
37730	DETECTED
37731	DETECTED
37732	DETECTED
37733	DETECTED
37734	DETECTED
37735	DETECTED
37736	DETECTED
37737	DETECTED
37738	DETECTED
37739	NOT DETECTED
37740	DETECTED
37741	DETECTED
37742	DETECTED
37743	DETECTED
37744	DETECTED
37745	DETECTED
37746	DETECTED
37747	DETECTED
37748	DETECTED
37749	DETECTED
37750	DETECTED
37751	DETECTED
37752	DETECTED
37753	DETECTED
37754	DETECTED
37755	DETECTED
37756	DETECTED
37757	NOT DETECTED
37758	NOT DETECTED
37759	DETECTED
37760	DETECTED
37761	DETECTED
37762	DETECTED
37763	DETECTED
37764	DETECTED
37765	DETECTED
37766	DETECTED
37767	NOT DETECTED
37768	DETECTED
37769	DETECTED
37770	NOT DETECTED
37771	DETECTED
37772	DETECTED
37773	NOT DETECTED
37774	DETECTED
37775	DETECTED
37776	DETECTED
37777	DETECTED
37778	DETECTED
37779	DETECTED
37780	DETECTED
37781	DETECTED
37782	DETECTED
37783	DETECTED
37784	DETECTED
37785	DETECTED
37786	DETECTED
37787	DETECTED
37788	DETECTED
37789	DETECTED
37790	DETECTED
37791	DETECTED
37792	DETECTED
37793	DETECTED
37794	DETECTED
37795	DETECTED
37796	DETECTED
37797	DETECTED
37798	DETECTED
37799	DETECTED
37800	DETECTED
37801	DETECTED
37802	DETECTED
37803	DETECTED
37804	DETECTED
37805	DETECTED
37806	DETECTED
37807	DETECTED
37808	DETECTED
37809	DETECTED
37810	DETECTED
37811	DETECTED
37812	DETECTED
37813	NOT DETECTED
37814	DETECTED
37815	DETECTED
37816	DETECTED
37817	DETECTED
37818	DETECTED
37819	DETECTED
37820	DETECTED
37821	DETECTED
37822	DETECTED
37823	DETECTED
37824	DETECTED
37825	NOT DETECTED
37826	NOT DETECTED
37827	DETECTED
37828	DETECTED
37829	DETECTED
37830	NOT DETECTED
37831	DETECTED
37832	DETECTED
37833	NOT DETECTED
37834	NOT DETECTED
37835	DETECTED
37836	DETECTED
37837	DETECTED
37838	DETECTED
37839	DETECTED
37840	DETECTED
37841	DETECTED
37842	DETECTED
37843	DETECTED
37844	DETECTED
37845	DETECTED
37846	DETECTED
37847	DETECTED
37848	DETECTED
37849	DETECTED
37850	DETECTED
37851	DETECTED
37852	DETECTED
37853	DETECTED
37854	DETECTED
37855	DETECTED
37856	DETECTED
37857	DETECTED
37858	DETECTED
