layers	Ralstonia	Shewanella	Unknown_t_class_Coriobacteriia	Unknown_t_order_Vi1virus	Unknown_t_phylum_Firmicutes	Moraxella	Bifidobacterium	Mycobacterium	Unknown_t_order_Alteromonadales	Enterobacter	Hymenobacter	Unknown_t_family_Streptococcaceae	Leuconostoc	Aggregatibacter	Fibrobacter	Oxalobacter	Alcanivorax	Eubacterium	Unknown_t_family_Burkholderiaceae	Unknown_t_family_Xanthomonadaceae	Buchnera	Desulfovibrio	Megasphaera	Unknown_t_order_Enterobacterales	Eggerthella	Vibrio	Faecalibacterium	Staphylococcus	Photobacterium	Proteus	Myroides	Rothia	Unknown_t_order_Selenomonadales	Acidovorax	Fusobacterium	Unknown_t_family_Spirochaetaceae	Lachnoclostridium	Yersinia	Haemophilus	Edwardsiella	Campylobacter	Bacillus	Unknown_t_order_T4virus	Prevotella	Pelosinus	Unknown_t_family_Tannerellaceae	Elizabethkingia	Burkholderia	Rhizobium	Corynebacterium	Weissella	Unknown_t_family_Micavibrio_aeruginosavorus	Unknown_t_family_Selenomonadaceae	Arthrobacter	Unknown_t_family_Peptostreptococcaceae	Achromobacter	Unknown_t_class_Clostridia	Chryseobacterium	Psychrobacter	Escherichia	Porphyromonas	Unknown_t_phylum_Actinobacteria	Gardnerella	Methanobrevibacter	Unknown_t_order_Cc31virus	Photorhabdus	Mannheimia	Providencia	Raoultella	Bibersteinia	Tannerella	Treponema	Enterococcus	Unknown_t_order_Burkholderiales	Anaeromyxobacter	Streptococcus	Idiomarina	Klebsiella	Ruminococcus	Unknown_t_class_Betaproteobacteria	Xanthomonas	Unknown_t_family_Ruminococcaceae	Unknown_t_order_Kp34virus	Cutibacterium	Listeria	Unknown_t_family_Lachnospiraceae	Pluralibacter	Lactobacillus	Serratia	Stenotrophomonas	Dehalobacter	Blautia	Unknown_t_order_K1gvirus	Veillonella	Unknown_t_family_Moraxellaceae	Marinobacter	Unknown_t_phylum_Caudovirales	Acidaminococcus	Unknown_t_family_Enterobacteriaceae	Unknown_t_class_Gammaproteobacteria	Unknown_t_family_Pasteurellaceae	Unknown_t_family_Rhodobacteraceae	Unknown_t_family_Bacillaceae	Erysipelothrix	Francisella	Rhodococcus	Mesorhizobium	Unknown_t_order_Kp15virus	Pseudoalteromonas	Riemerella	Plesiomonas_shigelloides	Deinococcus	Flavobacterium	Kosakonia	Unknown_t_family_Hymenobacteraceae	Aeromonas	Alteromonas	Unknown_t_order_Lactobacillales	Unknown_t_class_Bacteroidia	Paenibacillus	Acinetobacter	Pantoea	Piscirickettsia	Unknown_t_order_Clostridiales	Ethanoligenens	Neisseria	Unknown_t_family_Erysipelotrichaceae	Unknown_t_order_Rhizobiales	Pseudomonas	Bacteroides	Alicycliphilus	Unknown_t_family_Flavobacteriaceae	Unknown_t_family_Clostridiaceae	Solibacillus	Unknown_t_phylum_Proteobacteria	Unknown_t_order_Jd18virus	Pasteurella	Selenomonas	Unknown_t_class_Bacilli	Unknown_t_phylum_Bacteroidetes	Unknown_t_order_Bacteroidales	Unknown_t_order_Micrococcales	Candidatus_Moranella	Microbacterium	Unknown_t_domain_Bacteria	Clostridioides	Unknown_t_phylum_Tenericutes	Clostridium	Streptomyces	Unknown_t_class_Alphaproteobacteria	Thalassolituus	Unknown_t_phylum_Cyanobacteria	Unknown_t_order_V5virus	Ruminiclostridium	Unknown_t_family_Vibrionaceae	Acetobacter	Bordetella	Unknown_t_order_Sp6virus	Methylophaga	Lactococcus	Unknown_t_family_Oceanospirillaceae	Unknown_t_class_Siphoviridae	Unknown_t_family_Comamonadaceae	Butyrivibrio	Parabacteroides	Citrobacter	Unknown_t_phylum_Verrucomicrobia	Mycoplasma	Halomonas	Actinobacillus	Unknown_t_class_Myoviridae	Rickettsia	Unknown_t_order_Felixo1virus	Helicobacter	Lysobacter	Arcobacter	Odoribacter	Unknown_t_class_Actinobacteria	Akkermansia	Desulfotomaculum	Capnocytophaga	Unknown_t_family_Eggerthellaceae	Unknown_t_order_Bacillales	Salmonella	Unknown_t_class_Negativicutes	Cronobacter	Unknown_t_family_Aeromonadaceae	Unknown_t_order_Myxococcales	Brachyspira	Unknown_t_order_Kp36virus
FIJ0105	0	0	0	0	36868	0	197196	0	0	36358	0	0	4370	0	0	0	0	0	0	0	0	0	0	10652	0	3578	334098	0	0	0	0	0	0	0	0	0	7327	0	0	0	0	3437	0	94519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553960	4751	0	0	44177	0	0	0	0	0	0	0	0	3341	0	0	14092	0	108750	0	0	0	4700	0	0	0	30039	0	3106	0	0	0	0	0	0	0	0	0	0	448767	15729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3155	0	4264	0	0	0	166689	3148	0	0	0	4044	312627	0	4367	0	0	10471	0	0	0	0	17599	118153	0	0	0	121959	7747	0	11571	0	0	0	0	0	0	0	0	0	0	0	6112	0	0	0	0	55802	0	0	0	0	0	0	0	0	0	0	0	32764	3120	82000	0	0	0	0	0	0	0	0	0	0	0
FIJ0106	0	0	0	0	43000	0	10163	0	1566	2746	0	0	0	0	0	0	0	0	0	0	0	1311	0	4224	2577	2194	194494	1911	0	0	0	0	0	0	0	0	7800	0	1540	0	1928	2555	0	96047	0	0	0	2311	0	1572	0	0	0	0	0	0	0	0	0	17817	1708	0	0	4698	0	0	0	0	0	0	1337	0	1818	1978	0	13117	0	19684	2453	2146	0	4502	0	0	0	21422	0	2737	0	0	0	1457	0	0	0	0	0	2078	30582	11253	1377	0	0	0	0	0	0	0	1642	0	0	0	0	0	0	1311	0	2048	1280	3017	1320	0	0	99460	3282	0	0	0	3790	235612	0	5547	0	0	11978	0	0	0	0	10705	64725	0	0	0	74492	8319	0	9381	1837	2919	0	0	0	1248	0	0	0	0	0	1376	0	0	0	1458	19296	0	0	0	0	0	0	0	0	0	0	0	63996	4119	0	0	0	0	0	0	0	0	0	0	0	0
FIJ0107	0	0	0	0	15425	0	821476	0	0	6328	0	0	0	0	0	0	0	0	0	0	0	0	150244	6458	0	4370	109116	2113	0	0	0	0	0	0	0	0	2072	0	0	0	0	2437	0	223327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23009	2267	0	0	19815	0	0	0	0	0	0	0	0	0	0	0	9940	0	40723	0	0	0	0	0	0	0	15643	0	3922	0	0	0	0	0	0	0	0	0	0	50437	15976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2699	2493	0	0	48352	0	0	0	0	2660	109253	0	0	0	0	11190	0	0	2069	0	9733	38620	0	0	0	72224	0	0	7930	0	2512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8139	0	0	0	0	0	0	0	0	0	0	0	37800	2748	0	2316	0	0	0	0	0	0	0	0	2836	0
FIJ0108	0	0	0	0	21261	0	7178	0	2718	134077	0	0	0	0	0	0	0	0	0	0	0	0	0	13560	0	3582	170361	2295	0	0	0	0	0	0	1870	0	4777	0	2797	0	0	2701	0	48165	0	0	0	0	0	0	1698	0	0	0	0	0	0	0	0	23762	0	0	0	21102	0	0	0	0	0	0	0	0	7638	0	0	46978	0	332550	0	0	0	2656	0	0	0	15610	0	2642	0	0	0	1479	0	4664	0	0	3362	1615	93417	20159	2680	0	0	0	2053	0	0	0	3014	0	0	0	0	0	0	0	0	2595	0	2258	2819	0	0	67742	1879	0	0	0	2630	81572	0	0	0	0	10551	0	0	0	0	3873	21899	0	0	0	54098	5131	0	15410	0	2715	0	0	0	0	0	0	0	0	0	4295	0	0	0	1470	10610	4750	0	0	0	0	0	0	0	0	0	0	37083	2435	0	0	0	0	0	0	0	0	0	0	2358	0
FIJ0109	0	0	0	0	21986	0	47225	0	0	2053	0	0	0	0	0	0	0	0	0	0	0	0	0	1981	0	0	273910	1868	0	0	0	0	0	0	0	0	4912	0	0	0	0	3038	0	349831	0	0	0	2172	0	0	0	0	0	0	0	0	0	0	0	18718	3473	0	0	5136	0	0	0	0	0	0	2463	0	2055	2863	0	54503	0	3243	0	2430	0	1993	0	0	0	28112	0	4514	0	0	0	0	0	0	0	0	0	0	22510	3839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2598	2334	0	0	0	94114	2008	0	1633	0	3686	215567	0	2958	0	0	8880	0	0	0	0	16433	94963	0	0	0	62469	6104	0	9713	0	1629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36449	0	0	0	0	0	0	0	0	0	0	0	51118	2770	0	0	2093	0	0	0	0	0	0	0	0	0
FIJ0110	0	3005	0	0	10870	1521	91401	0	4379	29440	0	0	0	0	0	0	0	0	0	0	0	0	202327	10260	0	6794	56712	1839	0	0	0	0	0	0	0	0	0	0	2181	0	0	2432	0	286907	0	0	1364	1708	0	1286	0	1616	0	0	0	0	0	0	0	7341	2364	0	0	16554	0	0	0	0	0	0	0	0	0	1904	0	5929	0	39059	0	2356	0	0	0	0	0	6468	0	2648	0	0	0	0	0	1551	1843	0	0	0	13070	26779	3430	0	0	0	3179	0	0	0	3996	0	0	0	0	0	0	1327	0	0	1693	2939	3667	0	0	25329	0	0	0	0	3119	101315	0	2024	0	0	14375	0	2343	4858	0	9257	42633	0	0	0	52666	0	0	5790	1403	2878	1602	0	0	0	0	0	0	0	1569	0	1750	0	0	0	13581	0	0	0	0	0	0	0	0	0	0	0	26792	2500	0	0	0	0	1450	0	2667	0	2520	0	0	0
FIJ0111	0	0	0	0	17229	0	945962	0	0	22042	0	0	0	0	0	0	0	0	0	0	0	0	344229	7898	0	3093	197242	0	0	0	0	0	0	0	0	0	3197	0	0	0	0	0	0	209121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29757	0	0	0	0	0	0	0	0	0	0	0	0	4679	0	0	93739	0	130008	0	0	0	0	0	0	0	20227	0	6078	0	0	0	0	0	4865	0	0	0	0	67625	14966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4064	0	0	0	71774	0	0	0	0	3468	98965	0	0	0	0	10331	0	0	6403	0	11795	132110	0	0	0	84805	0	0	6158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6846	0	0	0	0	0	0	0	0	0	0	0	44154	3877	0	0	0	0	0	0	0	0	0	0	0	0
FIJ0112	0	0	0	0	15045	0	0	0	0	252732	0	0	0	0	0	0	0	0	0	0	0	0	26293	121703	0	0	81713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3582225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21568	0	4484162	0	0	0	0	0	0	0	20367	0	0	0	0	0	0	0	0	0	0	0	0	1882540	34828	0	0	0	0	0	0	0	19934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52469	0	0	0	0	0	105804	0	0	0	0	12935	0	0	0	0	13432	85574	0	0	0	132277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28645	0	0	0	0	0	0	0	0	0	0	0	0	0
FIJ0113	0	0	0	0	14711	0	75199	0	0	23332	0	0	0	0	0	0	0	0	0	0	0	0	0	82346	0	0	278966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32422	0	3276350	0	0	0	0	0	0	0	12237	0	0	0	0	0	0	0	0	0	0	0	0	213870	28580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60388	0	0	0	0	0	121186	0	0	0	0	11898	0	0	0	0	11948	46245	0	0	0	69515	0	0	6121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16389	0	0	0	0	0	0	0	0	0	0	0	49139	0	0	0	0	0	0	0	0	0	0	0	0	11767
FIJ0114	0	0	0	0	28544	0	7070	0	0	77803	0	0	0	0	0	0	0	0	0	0	0	0	0	37132	0	5405	233023	0	0	0	0	0	0	0	0	0	8724	0	0	0	0	0	0	143891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227413	0	0	0	14125	0	0	0	0	0	0	0	0	3503	0	0	60139	0	1218053	3778	0	0	3934	0	0	0	12427	0	4125	0	0	0	0	0	8474	0	0	0	0	418609	27738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3917	0	0	72177	0	0	0	0	4333	75743	0	0	0	0	18993	4947	0	0	0	13316	73849	0	0	0	75869	4673	0	10512	0	3538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9712	0	0	0	0	0	3571	0	0	0	0	0	35337	4468	103929	0	0	0	0	0	0	0	0	0	0	0
