samples	presence	detection	number_of_taxon_specific_core_detected	non_outlier_mean_coverage	non_outlier_coverage_std
FIJ0023	False	0.011332612167104518	0	0.0	0.0
FIJ0119	False	0.035141400092721375	0	0.0	0.0
FIJ0139	False	0.033812393756760935	0	0.0	0.0
USA0117	False	0.052645134703549167	0	0.0	0.0
USA0094		0.9641992479266471	0	7916.653653829283	38.025258855398874
FIJ0154	True	0.9153762942358213	0	7.162933597621407	4.2664053763867384
FIJ0098	False	0.15488590120022666	0	0.0	0.0
USA0068	True	0.9283984958532941	0	1092.0747841302446	137.28543630196003
FIJ0050	False	0.010611445938288775	0	0.0	0.0
FIJ0090	False	0.018636995827538246	0	0.0	0.0
FIJ0107	False	0.02774429506001133	0	0.0	0.0
FIJ0108	False	0.02259310771132746	0	0.0	0.0
FIJ0145	False	0.027703085561221863	0	0.0	0.0
USA0118	False	0.012867665997012312	0	0.0	0.0
CHI0017	True	0.9417091639622933	0	63.758154743594126	15.809004226408398
FIJ0160	False	0.0338536032555504	0	0.0	0.0
FIJ0105	False	0.036583732550352854	0	0.0	0.0
FIJ0162	False	0.041652500901457785	0	0.0	0.0
CHI0024	True	0.9607994642765157	0	1385.543607638806	205.20393035117564
FIJ0106	False	0.3666409107299233	0	0.5301086900530573	0.8343094722003854
USA0124	False	0.001401122958842013	0	0.0	0.0
USA0133	True	0.9425539586874775	0	150.5696529383458	20.895388409330124
USA0102	False	0.0030804100345129554	0	0.0	0.0
USA0058	False	0.002081079688868284	0	0.0	0.0
CHI0050	False	0.005563282336578581	0	0.0	0.0
FIJ0153	False	0.02254159583784062	0	0.0	0.0
USA0059	True	0.9505692062020296	0	3162.000379262392	802.690704815408
USA0149	True	0.9568742595168186	0	3018.8356354424272	292.03061315905023
FIJ0045	False	0.04179673414722093	0	0.0	0.0
CHI0007	False	0.15832689434914748	0	0.0	0.0
FIJ0066	False	0.016030495029104207	0	0.0	0.0
CHI0033	False	0.010652655437078247	0	0.0	0.0
USA0116	True	0.9154175037346108	0	850.3277263374486	69.64659228304826
USA0004	True	0.805068768351105	0	3.887668523795347	3.4562232693452026
USA0108	False	0.0058723535774996135	0	0.0	0.0
USA0073	True	0.9458610209653325	0	997.1283140190503	76.46873243617335
FIJ0064	False	0.02045021377427497	0	0.0	0.0
FIJ0097	True	0.6325967135424715	0	1.14109647713888	1.1611449266323204
FIJ0134	False	0.02327306444135373	0	0.0	0.0
FIJ0026	False	0.008283109256683666	0	0.0	0.0
FIJ0051	False	0.010374491320249318	0	0.0	0.0
USA0036	False	0.0020604749394735485	0	0.0	0.0
USA0072	False	0.001040539844434142	0	0.0	0.0
FIJ0109	False	0.028331530417761295	0	0.0	0.0
FIJ0004	False	0.022335548343893268	0	0.0	0.0
CHI0071	False	0.11216195333024262	0	0.0	0.0
USA0021	True	0.9542265492195952	0	7910.604077402394	43.72717385038619
FIJ0028	False	0.008520063874723123	0	0.0	0.0
USA0111	True	0.9521145624066347	0	574.3834940828061	180.7391659943871
FIJ0018	False	0.022757945706485344	0	0.0	0.0
FIJ0111	False	0.03389481275433988	0	0.0	0.0
CHI0029	False	0.001524751455210426	0	0.0	0.0
FIJ0005	False	0.02018235203214341	0	0.0	0.0
USA0056	True	0.9229279348889919	0	4683.606128969458	1380.961299363516
USA0143	True	0.9544841085870293	0	7923.827940892409	46.44359463671589
CHI0070	False	0.04460928243960233	0	0.0	0.0
FIJ0141	True	0.9338896615669912	0	369.96113246302235	185.42515206280666
USA0048	True	0.930829856281873	0	7905.751294864787	41.19272549830013
FIJ0165	False	0.03691340854066862	0	0.0	0.0
USA0009	True	0.9133879359192294	0	121.26401293693246	22.048812337765273
CHI0003	True	0.9349817132849122	0	18.30793932139404	5.722716402949828
CHI0032	True	0.9561427909133056	0	15.33019649750289	5.184989045112435
FIJ0084	False	0.01647349714109102	0	0.0	0.0
CHI0016	False	0.15530829856281872	0	0.0	0.0
USA0091	False	0.0027507340441971875	0	0.0	0.0
FIJ0043	False	0.008375830628959975	0	0.0	0.0
FIJ0127	False	0.029042394271879667	0	0.0	0.0
USA0050	True	0.9254726214392417	0	315.718609570516	226.95165082352383
USA0138	False	0.004893627981249678	0	0.0	0.0
FIJ0022	False	0.015463864420748983	0	0.0	0.0
USA0019	False	0.015360840673775305	0	0.0	0.0
CHI0004	False	0.032833668160511	0	0.0	0.0
FIJ0080	False	0.014279091330551693	0	0.0	0.0
FIJ0046	False	0.016452892391696287	0	0.0	0.0
FIJ0157	False	0.02675526708906403	0	0.0	0.0
FIJ0113	True	0.5361870911245042	0	0.8840200271200584	1.0470391613191214
FIJ0085	False	0.013671251223406995	0	0.0	0.0
USA0146	False	0.009529696595065163	0	0.0	0.0
USA0132		0.9311698346468861	0	4921.638191512997	621.4578922015374
USA0010	False	0.02058414464534075	0	0.0	0.0
USA0150	True	0.964281666924226	0	7924.658168207311	41.15750658395259
FIJ0063	False	0.017524339360222532	0	0.0	0.0
FIJ0092	False	0.019327254932261888	0	0.0	0.0
CHI0068	True	0.9622417967341472	0	77.22510807927685	17.751697025138206
FIJ0156	False	0.028146087673208673	0	0.031102869211353218	0.19175559977033135
FIJ0040	False	0.01350641322824911	0	0.0	0.0
CHI0001	False	0.39957760263740794	0	0.5378663782001751	0.7845352220413376
FIJ0122	False	0.02880543965384021	0	0.0	0.0
FIJ0001	False	0.014093648585999072	0	0.0	0.0
FIJ0155	True	0.9142224282697161	0	10.223322449240063	6.056703286428705
FIJ0136	False	0.11128625148096637	0	0.0	0.0
USA0105	False	0.012290733013959717	0	0.0	0.0
FIJ0009	False	0.015597795291814763	0	0.0	0.0
FIJ0123	False	0.033482717766445166	0	0.0	0.0
USA0016	False	0.023808787925616855	0	0.0	0.0
FIJ0071	False	0.013980322464328027	0	0.0	0.0
CHI0063	False	0.10706227785504559	0	0.0	0.0
FIJ0024	False	0.021150775253695978	0	0.0	0.0
FIJ0131	False	0.01890485756966981	0	0.0	0.0
FIJ0091	True	0.9148714778756504	0	4.117591454768882	2.6226786118055836
CHI0038	False	0.001524751455210426	0	0.0	0.0
FIJ0143	False	0.006768660176170608	0	0.0	0.0
FIJ0049	False	0.01697831350126204	0	0.0	0.0
USA0142	True	0.9558852315458714	0	2189.085593768924	1282.6007604345946
FIJ0095	False	0.02945448925977438	0	0.0	0.0
FIJ0027	False	0.015000257559367434	0	0.0	0.0
FIJ0030	False	0.013475506104157008	0	0.0	0.0
FIJ0096	False	0.027775202184103436	0	0.0	0.0
USA0112	True	0.9415546283418328	0	264.88531600902047	68.08777598696778
USA0071	True	0.605604491835368	0	1.1015585668736365	1.1498776374492712
FIJ0032	False	0.018503064956472467	0	0.0	0.0
FIJ0068	False	0.018358831710709317	0	0.0	0.0
FIJ0112	False	0.03535774996136609	0	0.0	0.0
FIJ0102	False	0.04530984391902333	0	0.0	0.0
FIJ0133	False	0.031154381084840057	0	0.0	0.0
USA0012	True	0.9636326173182919	0	1795.6443734531222	653.7070213795301
FIJ0161	False	0.023983928295472107	0	0.0	0.0
FIJ0078	False	0.018461855457682995	0	0.0	0.0
USA0130	True	0.9340441971874517	0	316.12600189708326	43.09622693049002
FIJ0094	True	0.9124504198217689	0	4.149562031500042	2.712045265910272
CHI0073	False	0.3245969195899655	0	0.42467418740019575	0.6977272515695664
FIJ0056	False	0.010158141451604595	0	0.0	0.0
TAN0036	False	0.4084788543759337	0	0.6378509246381291	0.9580805070024672
USA0025	True	0.9281924483593468	0	669.6448082765015	63.91373385804927
USA0061	False	0.0013908205841446453	0	0.0	0.0
USA0086	True	0.9236078916190181	0	366.99525793407673	40.57260615380478
USA0046	False	0.0010920517179209808	0	0.0	0.0
FIJ0014	False	0.01365064647401226	0	0.0	0.0
FIJ0011	False	0.012486478133209704	0	0.0	0.0
FIJ0069	False	0.009364858599907279	0	0.0	0.0
CHI0039	False	0.03490444547468191	0	0.0	0.0
FIJ0118	False	0.02680677896255087	0	0.0	0.0
FIJ0047	False	0.003987019007881317	0	0.0	0.0
CHI0020	False	0.43799515788389226	0	0.6202235615309328	0.8408595457343337
FIJ0121	False	0.03728429402977386	0	0.0	0.0
USA0037	True	0.9549477154484108	0	1907.1665821133497	110.22799802393855
CHI0036	True	0.9498480399732139	0	170.20932585303044	32.04007434245432
FIJ0006	False	0.018585483954051407	0	0.0	0.0
CHI0023	True	0.9549271106990161	0	137.01070084119533	23.431433112976766
FIJ0093	False	0.02945448925977438	0	0.0	0.0
FIJ0120	False	0.023406995312419514	0	0.0	0.0
USA0067	True	0.9414309998454644	0	7478.1308822224755	433.4825872324063
CHI0006	False	0.0821820429609025	0	0.0	0.0
USA0125	False	0.0012568897130788646	0	0.0	0.0
FIJ0061	False	0.009529696595065163	0	0.0	0.0
FIJ0138	False	0.023510019059393192	0	0.0	0.0
USA0001	True	0.9177355380415185	0	330.3248197240632	218.42198440180397
USA0008	True	0.9192499871220317	0	2595.064866959755	379.19271342111597
USA0069	True	0.9615412352547262	0	125.13082265258879	21.25477953790655
USA0098	True	0.9341472209344254	0	108.29462254029264	17.52377841056877
FIJ0140	False	0.02716736207695874	0	0.02797094730335342	0.16969308725783683
USA0151	True	0.9296553855663731	0	1568.591822077518	170.2663860117772
USA0079	False	0.00168958945036831	0	0.0	0.0
FIJ0048	False	0.010312677072065112	0	0.0	0.0
USA0097	True	0.9652088806469892	0	1709.3827348696436	564.3505595030541
FIJ0104	False	0.02861999690928759	0	0.0	0.0
CHI0025	False	0.021346520372945963	0	0.0	0.0
TAN0016	False	0.0010302374697367743	0	0.0	0.0
USA0063	True	0.8624117859166538	0	6.069860429217675	4.986309021487798
USA0114	False	0.009879977334775665	0	0.0	0.0
FIJ0008	False	0.016133518776077885	0	0.0	0.0
USA0115	True	0.9548343893267398	0	942.8818400056485	72.44006780056606
FIJ0151	False	0.032967599031576776	0	0.0	0.0
USA0088	True	0.6475866687271417	0	1.2631914239268924	1.2661912452463517
USA0119	True	0.8810075722454026	0	3.265249701190043	2.2858354098732225
CHI0051	False	0.11972389635811055	0	0.0	0.0
FIJ0152	False	0.02863029928398496	0	0.0	0.0
FIJ0013	False	0.01607170452789368	0	0.0	0.0
FIJ0089	False	0.008066759388038943	0	0.0	0.0
FIJ0067	False	0.010106629578117756	0	0.0	0.0
FIJ0037	True	0.8759594086436924	0	3.762828810020877	2.6611647531382476
FIJ0075	False	0.009364858599907279	0	0.0	0.0
FIJ0054	False	0.009169113480657291	0	0.0	0.0
USA0131	True	0.9304692731674651	0	1809.467628601197	161.96896871658393
FIJ0012	False	0.007809200020604749	0	0.0	0.0
USA0103	False	0.005336630093236491	0	0.0	0.0
FIJ0007	False	0.009169113480657291	0	0.0	0.0
FIJ0150	False	0.03528563333848452	0	0.0	0.0
TAN0001	False	0.0014835419564209551	0	0.0	0.0
USA0034	True	0.9599546695513316	0	19.48713925161857	5.456297071946335
FIJ0103	False	0.02811518054911657	0	0.0	0.0
FIJ0110	False	0.028877556276721783	0	0.0	0.0
FIJ0034	False	0.012290733013959717	0	0.0	0.0
USA0018	False	0.0013908205841446453	0	0.0	0.0
USA0020	True	0.9383505898109514	0	921.2770346189783	121.66444514225225
CHI0010	False	0.38651419152114563	0	0.5042085200638747	0.7274736092507599
USA0139	False	0.008180085509709988	0	0.0	0.0
FIJ0053	False	0.02177922011023541	0	0.0	0.0
USA0136	True	0.9334157523309122	0	2175.818351313472	199.689825984714
FIJ0060	False	0.01177561427909133	0	0.0	0.0
FIJ0159	False	0.03193736156184	0	0.0	0.0
FIJ0057	False	0.013527017977643847	0	0.014464534075104311	0.12700528935448077
FIJ0087	False	0.013372482357183331	0	0.0	0.0
