contig	PR_origin	Ribisomal_P
PR_node_304_split_00001	PR	
PR_node_305_split_00001	PR	
PR_node_306_split_00001	PR	
PR_node_308_split_00001	PR	
PR_node_309_split_00001	PR	
PR_node_310_split_00001	PR	
PR_node_311_split_00001	PR	
PR_node_312_split_00001	PR	
PR_node_313_split_00001	PR	
PR_node_315_split_00001	PR	
PR_node_316_split_00001	PR	
PR_node_317_split_00001	PR	
PR_node_318_split_00001	PR	
PR_node_320_split_00001	PR	
PR_node_322_split_00001	PR	
PR_node_323_split_00001	PR	
PR_node_324_split_00001	PR	
PR_node_329_split_00001	PR	
PR_node_330_split_00001	PR	
PR_node_331_split_00001	PR	
PR_node_333_split_00001	PR	
PR_node_336_split_00001	PR	
PR_node_337_split_00001	PR	
PR_node_339_split_00001	PR	
PR_node_340_split_00001	PR	YES
PR_node_341_split_00001	PR	
PR_node_342_split_00001	PR	
PR_node_343_split_00001	PR	
PR_node_344_split_00001	PR	
PR_node_345_split_00001	PR	
PR_node_346_split_00001	PR	
PR_node_349_split_00001	PR	
PR_node_350_split_00001	PR	
PR_node_352_split_00001	PR	
PR_node_353_split_00001	PR	
PR_node_355_split_00001	PR	
PR_node_356_split_00001	PR	
PR_node_360_split_00001	PR	
PR_node_363_split_00001	PR	
PR_node_364_split_00001	PR	
PR_node_365_split_00001	PR	
PR_node_366_split_00001	PR	
PR_node_368_split_00001	PR	
PR_node_370_split_00001	PR	
PR_node_371_split_00001	PR	
PR_node_373_split_00001	PR	
PR_node_374_split_00001	PR	
PR_node_377_split_00001	PR	
PR_node_381_split_00001	PR	
PR_node_384_split_00001	PR	
PR_node_389_split_00001	PR	
PR_node_390_split_00001	PR	
PR_node_396_split_00001	PR	
PR_node_398_split_00001	PR	
PR_node_399_split_00001	PR	
PR_node_400_split_00001	PR	
PR_node_402_split_00001	PR	
PR_node_403_split_00001	PR	
PR_node_404_split_00001	PR	
PR_node_405_split_00001	PR	
PR_node_406_split_00001	PR	
PR_node_407_split_00001	PR	
PR_node_409_split_00001	PR	
PR_node_410_split_00001	PR	
PR_node_411_split_00001	PR	
PR_node_412_split_00001	PR	
PR_node_415_split_00001	PR	
PR_node_416_split_00001	PR	
PR_node_417_split_00001	PR	
PR_node_418_split_00001	PR	
PR_node_419_split_00001	PR	
PR_node_420_split_00001	PR	
PR_node_421_split_00001	PR	
PR_node_422_split_00001	PR	
PR_node_423_split_00001	PR	
PR_node_425_split_00001	PR	
PR_node_427_split_00001	PR	
PR_node_429_split_00001	PR	
PR_node_434_split_00001	PR	
PR_node_437_split_00001	PR	
PR_node_439_split_00001	PR	
PR_node_442_split_00001	PR	
PR_node_443_split_00001	PR	
PR_node_444_split_00001	PR	YES
PR_node_448_split_00001	PR	
PR_node_449_split_00001	PR	
PR_node_452_split_00001	PR	
PR_node_453_split_00001	PR	
PR_node_454_split_00001	PR	
PR_node_457_split_00001	PR	
PR_node_458_split_00001	PR	
PR_node_462_split_00001	PR	
PR_node_464_split_00001	PR	
PR_node_465_split_00001	PR	
PR_node_468_split_00001	PR	
PR_node_469_split_00001	PR	
PR_node_471_split_00001	PR	
PR_node_472_split_00001	PR	
PR_node_474_split_00001	PR	
PR_node_475_split_00001	PR	
PR_node_476_split_00001	PR	
PR_node_477_split_00001	PR	
PR_node_478_split_00001	PR	
PR_node_483_split_00001	PR	
PR_node_484_split_00001	PR	
PR_node_488_split_00001	PR	
PR_node_491_split_00001	PR	
PR_node_492_split_00001	PR	
PR_node_495_split_00001	PR	
PR_node_496_split_00001	PR	
PR_node_498_split_00001	PR	
PR_node_499_split_00001	PR	
PR_node_501_split_00001	PR	
PR_node_502_split_00001	PR	
PR_node_503_split_00001	PR	
PR_node_504_split_00001	PR	
PR_node_506_split_00001	PR	
PR_node_508_split_00001	PR	
PR_node_509_split_00001	PR	
PR_node_510_split_00001	PR	
PR_node_511_split_00001	PR	
PR_node_513_split_00001	PR	
PR_node_514_split_00001	PR	
PR_node_515_split_00001	PR	
PR_node_520_split_00001	PR	
PR_node_521_split_00001	PR	
PR_node_522_split_00001	PR	
PR_node_523_split_00001	PR	
PR_node_527_split_00001	PR	
PR_node_532_split_00001	PR	
PR_node_534_split_00001	PR	
PR_node_538_split_00001	PR	
PR_node_539_split_00001	PR	
PR_node_540_split_00001	PR	
PR_node_543_split_00001	PR	
PR_node_545_split_00001	PR	
PR_node_546_split_00001	PR	
PR_node_547_split_00001	PR	
PR_node_553_split_00001	PR	
PR_node_556_split_00001	PR	
PR_node_557_split_00001	PR	
PR_node_558_split_00001	PR	
PR_node_560_split_00001	PR	
PR_node_561_split_00001	PR	
PR_node_568_split_00001	PR	
PR_node_572_split_00001	PR	
PR_node_575_split_00001	PR	
PR_node_576_split_00001	PR	
PR_node_577_split_00001	PR	
PR_node_580_split_00001	PR	
PR_node_587_split_00001	PR	
PR_node_588_split_00001	PR	
PR_node_591_split_00001	PR	
PR_node_592_split_00001	PR	
PR_node_594_split_00001	PR	
PR_node_599_split_00001	PR	
PR_node_600_split_00001	PR	
PR_node_601_split_00001	PR	
PR_node_603_split_00001	PR	
PR_node_605_split_00001	PR	
PR_node_612_split_00001	PR	
PR_node_613_split_00001	PR	
PR_node_614_split_00001	PR	
PR_node_616_split_00001	PR	
PR_node_617_split_00001	PR	
PR_node_620_split_00001	PR	
PR_node_623_split_00001	PR	
PR_node_625_split_00001	PR	
PR_node_627_split_00001	PR	
PR_node_629_split_00001	PR	
PR_node_630_split_00001	PR	
PR_node_632_split_00001	PR	
PR_node_633_split_00001	PR	
PR_node_634_split_00001	PR	
PR_node_635_split_00001	PR	
PR_node_638_split_00001	PR	
PR_node_639_split_00001	PR	
PR_node_640_split_00001	PR	
PR_node_641_split_00001	PR	
PR_node_642_split_00001	PR	
PR_node_643_split_00001	PR	
PR_node_646_split_00001	PR	
PR_node_651_split_00001	PR	
PR_node_654_split_00001	PR	
PR_node_655_split_00001	PR	
PR_node_657_split_00001	PR	
PR_node_658_split_00001	PR	
PR_node_659_split_00001	PR	
PR_node_660_split_00001	PR	
PR_node_661_split_00001	PR	
PR_node_665_split_00001	PR	
PR_node_666_split_00001	PR	
PR_node_667_split_00001	PR	
PR_node_668_split_00001	PR	
PR_node_669_split_00001	PR	
PR_node_670_split_00001	PR	
PR_node_672_split_00001	PR	
PR_node_678_split_00001	PR	
PR_node_682_split_00001	PR	
PR_node_683_split_00001	PR	
PR_node_684_split_00001	PR	
PR_node_687_split_00001	PR	
PR_node_691_split_00001	PR	
PR_node_692_split_00001	PR	
PR_node_696_split_00001	PR	
PR_node_697_split_00001	PR	
PR_node_701_split_00001	PR	
PR_node_702_split_00001	PR	
PR_node_703_split_00001	PR	
PR_node_704_split_00001	PR	
PR_node_705_split_00001	PR	
PR_node_709_split_00001	PR	
PR_node_711_split_00001	PR	
PR_node_718_split_00001	PR	
PR_node_721_split_00001	PR	
PR_node_723_split_00001	PR	
PR_node_724_split_00001	PR	
PR_node_726_split_00001	PR	
PR_node_728_split_00001	PR	
PR_node_729_split_00001	PR	
PR_node_730_split_00001	PR	
PR_node_736_split_00001	PR	
PR_node_742_split_00001	PR	
PR_node_743_split_00001	PR	
PR_node_744_split_00001	PR	
PR_node_750_split_00001	PR	
PR_node_753_split_00001	PR	
PR_node_754_split_00001	PR	
PR_node_756_split_00001	PR	
PR_node_760_split_00001	PR	
PR_node_761_split_00001	PR	
PR_node_763_split_00001	PR	
PR_node_765_split_00001	PR	
PR_node_768_split_00001	PR	
PR_node_770_split_00001	PR	
PR_node_771_split_00001	PR	
PR_node_774_split_00001	PR	
PR_node_776_split_00001	PR	
PR_node_777_split_00001	PR	
PR_node_781_split_00001	PR	
PR_node_782_split_00001	PR	
PR_node_783_split_00001	PR	
PR_node_784_split_00001	PR	
PR_node_786_split_00001	PR	
PR_node_788_split_00001	PR	
PR_node_792_split_00001	PR	
PR_node_798_split_00001	PR	
PR_node_800_split_00001	PR	
PR_node_802_split_00001	PR	
PR_node_803_split_00001	PR	
PR_node_806_split_00001	PR	
PR_node_807_split_00001	PR	
PR_node_809_split_00001	PR	
PR_node_811_split_00001	PR	
PR_node_813_split_00001	PR	
PR_node_814_split_00001	PR	
PR_node_816_split_00001	PR	
PR_node_819_split_00001	PR	
