contig	PR_origin	Ribisomal_P
PR_node_1873_split_00001	PR	
PR_node_1877_split_00001	PR	
PR_node_1881_split_00001	PR	
PR_node_1885_split_00001	PR	
PR_node_1889_split_00001	PR	
PR_node_1890_split_00001	PR	
PR_node_1892_split_00001	PR	
PR_node_1893_split_00001	PR	
PR_node_1894_split_00001	PR	
PR_node_1896_split_00001	PR	
PR_node_1900_split_00001	PR	
