MAGs	DB_D_01	DB_D_02	DB_D_03	DB_D_04	DB_D_05	DB_D_06	DB_D_07	DB_D_08	DB_D_09	DB_D_10	DB_D_11	DB_D_12	DB_D_13	DB_D_14	DB_D_15	DB_R01_CDI_C_01_PRE	DB_R01_CDI_C_02_PRE	DB_R01_CDI_C_03_POST	DB_R01_CDI_C_04_POST	DB_R01_CDI_C_05_POST	DB_R01_CDI_C_06_POST	DB_R01_CDI_C_07_POST	DB_R02_CDI_C_01_PRE	DB_R02_CDI_C_02_PRE	DB_R02_CDI_C_03_POST	DB_R02_CDI_C_04_POST	DB_R02_CDI_C_05_POST	DB_R02_CDI_C_06_POST	DB_R03_CDI_P_01_PRE	DB_R03_CDI_P_02_PRE	DB_R03_CDI_P_03_POST	DB_R03_CDI_P_04_POST	DB_R03_CDI_P_05_POST	DB_R03_CDI_P_06_POST	DB_R03_CDI_P_07_POST	DB_R03_CDI_P_08_POST	DB_R04_CDI_P_01_PRE	DB_R04_CDI_P_02_PRE	DB_R04_CDI_P_03_POST	DB_R04_CDI_P_04_POST	DB_R04_CDI_P_05_POST	DB_R04_CDI_P_06_POST	DB_R04_CDI_P_07_POST	DB_R04_CDI_P_08_POST	DB_R04_CDI_P_09_POST	DB_R05_UC_P_01_PRE	DB_R05_UC_P_02_POST	DB_R05_UC_P_03_POST	DB_R05_UC_P_04_POST	DB_R05_UC_P_05_POST	DB_R05_UC_P_06_POST
DB_MAG_00100	121.9910398	39.66762401	74.28478041	47.57116771	126.8811814	102.5179152	81.78729832	48.59038184	21.40177297	4.765654792	32.47434933	46.07805084	6.897706298	0	0.432759663	0	0.00766835	0	0.120049384	0.01075756	0	0.109749317	0	0.321550164	0.008204854	0	0.005687576	0	0.003935377	0	0	0	0	0	0	0	0.021899597	0.008066907	0	47.93747843	6.689401555	0.008162969	0.074829564	39.23343804	0.019814632	0	0	0	0	0	0
DB_MAG_00101	0.971142692	0.499039359	1.926757927	2.606400209	2.562642553	0.675843934	1.831792965	1.262591956	1.056017326	0.924396563	2.015749935	6.575182332	1.458717117	1.159239868	1.129111058	12.61192321	0.809970028	11.03332727	235.998577	2.822292699	0.344676738	2.212939771	0	0.118569082	0.010610468	0.125417486	0.333196696	0.625820901	0.705051791	0.012912049	1.143675558	1.846557675	1.445658585	0.573571479	0.777269839	4.687616224	0.050876992	0.001731946	1.360003799	4.134637617	5.408817777	2.836711719	0.781299716	0.375807399	0.549217281	0	1.213601029	3.358543207	0.491728442	0.674687201	2.660499781
DB_MAG_00102	0.115664067	0.051282093	0.129396982	0.191298717	0.369249176	0.057624891	0.181735449	0.276832288	0.329444869	0.17482784	0.491245491	0.72596434	0.385291693	40.74270905	37.98199186	0.008817328	3.016593652	1.682269431	2.571148217	1.570463505	0.054336035	3.405613537	0.024285407	0.779647015	5.890433665	2.258646034	1.463329332	1.691976316	0.3664545	3.695310099	116.6440875	297.8864115	358.5242658	172.4818781	77.10565119	127.9257037	2.199515341	0.609300795	1.158760781	0.676249679	1.46061311	0.75794322	0.590399836	0.46894496	1.080052079	0.046335777	1.748006247	1.712918735	0.757332007	0.251167848	2.093915093
DB_MAG_00103	2.633664305	2.357106912	1.364975371	0.450184263	1.816448198	2.387885184	2.174073313	1.654194093	1.143434369	3.547111053	0.608645394	0.493958436	2.220499964	1.26342231	1.156030207	0.748565601	0.050373256	1.414945781	1.837542313	2.026405349	1.787190866	1.61341671	0	0.001682864	0.061778567	0	0.00666804	0	0.011655998	0.017364135	1.794710742	1.509893942	0.585934703	1.125248156	0.965327588	0.23194433	0.260745495	0.027106535	5.560978002	2.659652827	3.589999791	3.890351983	7.483534154	3.689297468	3.491986541	0.00245227	1.398105831	0.954975152	4.389790738	2.120780534	1.573638985
DB_MAG_00104	34.61347988	30.83571932	34.34861098	26.20564437	22.6206793	13.4722535	9.212851886	51.66805302	4.612573383	4.940902216	14.34169992	19.2560587	21.85375184	20.63866372	15.08776548	0	0.021744894	0	0.06011177	0.008703447	0	0.133788982	0	0.069002147	0.009457167	0	0.006218174	0	0.007459427	0.006157667	2.520226867	3.088209651	0.505717911	0.290912116	0.179335911	0.916629221	0.098998002	0.081396629	0.394114505	0.494949142	1.480582532	2.740637068	0.409117891	21.97940527	0.39841612	0.001073605	23.82988931	1.28965001	3.425679572	31.698089	16.51808392
DB_MAG_00105	3.296335047	1.167211949	0.291219986	0.173911358	1.540006085	3.151792524	1.058361067	1.529834485	7.437712559	1.760037296	0.110164406	1.552399821	22.35232664	41.99573007	3.96518309	0.467410162	0.036514473	0.40779316	0.016328138	0.323794199	0	0.04526423	0	0.01324787	0.132018097	0	0.008028966	0	0.006425387	0	0.019988685	0.258983038	2.186587397	0.09140897	0.132589135	0.067594907	0.154150874	0.005908287	49.84184043	0.011186123	0.130231334	0.007854406	0.046830904	0.594012486	0.701211187	0	13.75358174	26.86940969	2.138046378	1.092271441	0.003744882
DB_MAG_00106	62.83974985	57.05242648	33.54688443	13.04754817	19.73659849	50.71784362	20.4672294	11.98260396	14.09993169	13.36110615	15.17721756	43.54474034	58.79559136	2.131980176	0.494413721	0	0.01439738	0	0.117964783	0.005513147	0	0.064698816	0	0.107733766	0.01202455	0	0.01946744	0	0.005428329	0	0	1.104223637	1.673982432	2.022517953	0.368349798	0.078825525	0	0	0	0	0	0	0	0	2.581900613	0	0	0	0	0	0
DB_MAG_00107	0.675778468	0.671169705	1.762292707	1.598673615	2.803521234	0.22936996	1.162272544	1.110094078	2.312193713	1.910515258	0.860451233	2.085146673	0.768964508	3.202674204	1.115863459	1.183575452	1.12996938	1.835081066	3.251540456	1.144557947	0.289335335	0.212419093	0	0.046153234	2.536808825	0	0.004726954	0	0.017069476	0.055126236	6.199852583	4.551629477	3.766266195	2.792586792	2.285302919	2.743218401	0.035296474	0.01625499	2.921493268	0.840658625	1.41289951	2.580897891	0.562944256	0.932003026	0.416397209	0	7.20722157	9.439828219	0.316833578	0.702432663	2.73965216
DB_MAG_00108	0.892012405	0.513150658	1.645657487	1.292363316	2.138654646	0.764270837	0.081795628	0.032572519	0.198815013	0.076231323	0.083149353	0.437158019	0.211699531	0.606850858	0.596371403	0	0	0	0.00874131	0.006296175	0	0.010607601	0	0.00200039	0	0	0	0	0.001208094	0	0.42095495	0.120620857	0.056333485	1.180792237	0.079650589	1.232176986	0.002350135	0.003621486	3.027150001	0.012820539	1.284531164	0.035430449	0.004126032	0.028513173	0	0	0.083913605	1.397302003	0.003968541	0.667178169	0.005693514
DB_MAG_00109	35.83627864	30.30005072	52.93773308	24.51314803	16.50349615	15.47738942	14.86156067	14.76406398	3.757854103	4.862427437	11.38000411	7.38008189	18.68947381	0	0.299932517	0	0.014461018	0	0.022638573	0	0	0.050905051	0	0.037415556	0	0	0	0	0	0	0	0	0	0	0	0	0.158180106	0.096912655	0.0203577	0.005932143	28.4210062	1.607645694	0.221855354	44.89050685	35.11341053	0.002018341	42.89639171	55.71120615	2.687050485	82.49416445	5.307827263
