MAGs	DA_D_01	DA_D_02	DA_D_03	DA_D_04	DA_D_05	DA_D_06	DA_D_07	DA_D_08	DA_D_09	DA_D_10	DA_D_11	DA_D_12	DA_D_13	DA_D_14	DA_D_15	DA_D_16	DA_D_17	DA_D_18	DA_D_19	DA_D_20	DA_D_21	DA_D_22	DA_D_23	DA_D_24	DA_R01_CDI_P_01_PRE	DA_R01_CDI_P_02_POST	DA_R01_CDI_P_03_POST	DA_R01_CDI_P_05_POST	DA_R01_CDI_P_06_POST	DA_R01_CDI_P_08_PRE	DA_R02_CDI_C_01_PRE	DA_R02_CDI_C_02_PRE	DA_R02_CDI_C_03_POST	DA_R02_CDI_C_04_POST	DA_R02_CDI_C_05_POST	DA_R02_CDI_C_06_POST	DA_R02_CDI_C_07_POST	DA_R03_CDI_C_01_PRE	DA_R03_CDI_C_02_PRE	DA_R03_CDI_C_03_PRE	DA_R03_CDI_C_04_POST	DA_R03_CDI_C_05_POST	DA_R03_CDI_C_06_POST	DA_R03_CDI_C_07_POST	DA_R03_CDI_C_08_POST	DA_R04_UC_P_01_PRE	DA_R04_UC_P_02_PRE	DA_R04_UC_P_03_POST	DA_R04_UC_P_04_POST	DA_R04_UC_P_05_POST	DA_R04_UC_P_06_POST	DA_R04_UC_P_07_POST	DA_R04_UC_P_09_POST	DA_R05_UC_C_01_PRE	DA_R05_UC_C_02_POST	DA_R05_UC_C_03_POST	DA_R05_UC_C_04_POST	DA_R05_UC_C_05_POST
DA_MAG_00026	0.056510819	0.103741456	0.081297371	0.151540829	0.043128085	0.104740686	0.087654321	0	0	0	0.068248208	0	14.18571388	1.13757281	0	0.005336818	0	0.001881186	0	0.084437038	0.583464383	0.120666562	0	0.001600792	0.039995152	0.021520621	0.002902192	59.81676795	166.3118248	1.166321622	0.048296288	0.017231335	0	2.190417853	301.2780907	795.3157898	53.42329714	0.014228982	0.026468675	0.073304745	4.693413158	0	0	0	0	0.022585522	7.422061201	172.5560393	18.77020574	118.3456895	11.74921969	0	27.67101961	0.002786991	0	0	0.002650625	0
DA_MAG_00027	30.69321745	11.40445527	35.46744473	25.01427724	37.686642	33.84121765	31.92153392	24.48005589	26.34109726	20.80281829	6.585018976	9.259027183	31.97250852	5.98607799	17.89382998	15.55536075	16.19491719	37.32519626	37.02500845	20.63756352	8.876216434	9.711271734	32.33592834	67.26229736	0.004664703	8.750702926	6.290342906	16.64636544	2.162495027	0.030706125	0	0.000328668	12.12519777	55.39322251	3.575935472	25.34730558	17.1739974	6.551684578	0.00777604	0.595079645	42.91243237	0.459325543	22.37747042	21.0467541	0	0	0.204795127	9.018104171	12.87114546	9.406198224	13.59284577	13.31482808	17.88040402	0	13.52413713	0.737860689	3.77366032	16.97880043
DA_MAG_00028	0	0	0	0	0	0	0	0	0	0.002988045	0	0	0.055060926	0	2.434578428	2.138996999	2.960061623	1.173750202	1.0825283	14.07355119	0.048996565	1.885595167	14.84663197	42.67921284	0.006418264	0.025155215	0.002380952	0.000187869	0	0.007490079	0	0	0	0	0	0.009913166	0	0.304023562	0.001427473	0	1.854191491	0.093900541	5.781883159	3.992671359	0.000442177	0	0.017870837	2.350610074	0.005074161	0.057537832	0.00553323	0	0	0	0	0	0	0.000996845
DA_MAG_00029	1.115781579	0.79184038	2.573822772	4.305979392	0.145060985	61.95388395	3.286802632	4.518675219	0.402084358	21.70738428	1.761598355	2.811186018	9.21662564	0.056501675	3.125416711	0.165012401	0.056584144	0.127393645	0.248115105	0.224077774	3.312650767	2.105642613	0.864980223	4.839746771	0	3.108591568	0.375025729	0.002159131	0	0	0	0	0.018234243	0	0.021185633	1.370219058	0.042628789	0	0	0	0.00597666	0	0.062548324	0.033715089	0	0.006367943	0.004708625	1.488074324	0.10130691	1.356960827	0.007260704	0	0	0	0.000221298	0.006683354	0	0
DA_MAG_00030	0.110843808	0.134062839	0.305205519	0.483316745	0.326991812	5.905120889	0.408074918	0.100109463	0.045954316	0.649583683	0.749838986	0.882458185	0.740001205	0.13006297	0.242041046	0.918545431	0.285574198	3.525500559	0.273581779	0.083857742	0.46087412	0.950710728	1.08684007	4.769953903	0	11.28294372	5.809154591	3.413689832	8.06217132	0	0	0	0.693690928	1.539926059	0.75497447	9.516548662	2.219737533	3.927440739	0	0.218158324	0.419700907	0.26651398	1.758534736	0.544337444	1.478928772	0	0.094465564	3.375020988	0.813029498	0.297002852	2.279185989	2.370043092	4.465514224	0.324707764	0.087740739	1.353799113	0.615517707	1.924652775
DA_MAG_00031	118.8549612	62.65617816	83.86070064	118.9635168	83.59801393	65.74245675	131.162085	122.8772241	193.1828627	204.5449015	55.52352889	70.22883067	86.52692486	101.8305586	249.5039713	199.6893284	246.1182526	124.487783	81.20494194	264.4180411	11.01406985	231.0448258	176.1484523	80.89824043	0.007911016	42.1591451	19.81658993	51.36102792	0.005976939	0.119789143	0.113023567	0	171.6707971	230.7803509	33.11740126	133.7714732	46.45355737	0.034927151	0.086493082	0.015299127	51.12656729	0.110663116	7.187667065	10.66808136	5.419716886	0.004259191	1.884675186	49.91525794	36.91241198	19.35363057	100.336976	54.08100551	26.08101243	0.013672072	210.646845	188.3545881	1.547076929	5.777506855
DA_MAG_00032	1.278408664	0.741904213	1.027195681	2.39705924	0.436328402	0.778390192	0.490116165	1.367340159	1.925336616	1.135806004	0.737579878	0.62068925	1.213743381	1.997319366	2.146261691	0.891922186	1.015484707	0.767513747	0.566438143	0.926643565	0.109298723	0.855435925	0.462123663	0.488613941	0	0.646201419	0.061719347	0.071027712	0.173792953	0.00409301	0	0	0.297920593	0.01216015	0.044533271	0.245082911	0.071985406	0.003413121	0	0	0.062477727	0.002601661	0.097542204	0.058907671	0.018908573	0	0.006878864	0.557910588	0.013640258	0.016926264	0.00441192	0	0	0	0.020803783	0.008805604	0	0
DA_MAG_00033	1.531554723	0.732928729	0.944214973	1.801901213	0.030127912	7.331525359	0.322981759	0.01144844	0.527853565	3.074546633	5.615729341	4.239779159	4.904293096	2.170251727	1.40938881	8.631755256	1.37570517	6.435506693	0.880561348	0.528156741	3.631905148	0.281991327	0.711747352	9.739332844	0	10.06660824	32.78391315	5.559905625	4.494443394	0	0	0	0.295187116	0	1.464915904	0.912161002	4.900686502	0.022218651	0.001155718	0	0.124713846	0	9.926969588	2.062227398	3.754468916	0.005568451	0.132722738	9.21681267	0.030455588	0.079946081	0.040411881	0.017513906	0.37196875	0	0.007450725	0.011576101	0.01486626	0.269850431
DA_MAG_00034	108.8123254	135.1307152	131.3677563	122.0390665	61.28388745	78.04153219	84.60623053	163.246647	56.52058592	69.78313672	79.79180195	51.36898478	13.02390205	67.89157226	83.05723936	57.75034219	70.18726562	57.90466099	50.50131502	86.0827076	0.533949234	54.66848129	33.29687005	18.46778702	0	18.28639931	0.194734033	0.226507965	0.121143686	0.022339684	0.088293082	0.000874381	39.4272708	63.87831781	34.10806079	57.8860464	19.17677602	0.241237667	0.008640947	0.044320166	216.2864913	0.037469237	75.76629782	148.2260631	0.05391011	0	1.063845083	34.22261708	43.34417	22.59055614	67.7230513	51.4814477	22.80458446	1.936642802	173.8081494	26.42263278	23.82421074	14.95512005
DA_MAG_00035	1.521995974	0.137903986	0.775229055	1.39646389	0.55947726	0.450770336	0.905594863	1.346739877	0.921227223	1.121011092	0.638761188	0.354384405	1.254012531	0.815692444	2.26500456	0.668796605	1.169515926	2.270244144	1.209948528	2.56832817	0.494881762	0.802809022	0.722378895	0.634715667	0	0.92516877	1.003936019	0.011415815	0.02699895	0.005909078	0	0	3.064904601	1.407437555	0.048896015	0.999703466	0.268143214	0.011197681	0.002163849	0.013700693	0.177809653	0.022616879	0.840334198	0.032767121	0	0	0.044015334	3.383139413	0.387936798	0.335530016	0.232146015	1.081339047	1.888645028	0.023037743	0.049413357	0.03759016	0.097398257	0.434680231
