MAG	recipient	outcome	transplant_sample	transplant_mean_cov_Q2Q3
DA_MAG_00031	R01	colonization	DA_D_09	181.085391706
DA_MAG_00031	R02	colonization	DA_D_10	197.042506383
DA_MAG_00031	R03	colonization	DA_D_15	243.590618409
DA_MAG_00031	R04	ambiguous	DA_D_14	98.87831065389999
DA_MAG_00031	R05	colonization	DA_D_08	112.06854649299999
DA_MAG_00034	R01	ambiguous	DA_D_09	54.129143998800004
DA_MAG_00034	R02	colonization	DA_D_10	65.8882205857
DA_MAG_00034	R03	colonization	DA_D_15	77.7413277734
DA_MAG_00034	R04	ambiguous	DA_D_14	64.08940701
DA_MAG_00034	R05	colonization	DA_D_08	155.437697625
DA_MAG_00037	R01	colonization	DA_D_09	0.531395737842
DA_MAG_00037	R02	ambiguous	DA_D_10	3.3833448871700003
DA_MAG_00037	R03	no_colonization	DA_D_15	1.5361552283700002
DA_MAG_00037	R04	ambiguous	DA_D_14	0.13994695582299999
DA_MAG_00037	R05	ambiguous	DA_D_08	0.0451189355296
DA_MAG_00038	R01	colonization	DA_D_09	1.21161573386
DA_MAG_00038	R02	ambiguous	DA_D_10	5.217586048899999
DA_MAG_00038	R03	no_colonization	DA_D_15	8.18124408671
DA_MAG_00038	R04	ambiguous	DA_D_14	1.7623874119599998
DA_MAG_00038	R05	ambiguous	DA_D_08	1.43020027333
DA_MAG_00039	R01	ambiguous	DA_D_09	0.047847708609800005
DA_MAG_00039	R02	ambiguous	DA_D_10	0.0594717322602
DA_MAG_00039	R03	ambiguous	DA_D_15	47.929137984499995
DA_MAG_00039	R04	ambiguous	DA_D_14	36.9216851362
DA_MAG_00039	R05	ambiguous	DA_D_08	0.0418427624757
DA_MAG_00041	R01	ambiguous	DA_D_09	99.7160951983
DA_MAG_00041	R02	colonization	DA_D_10	164.298237841
DA_MAG_00041	R03	colonization	DA_D_15	56.756969428699996
DA_MAG_00041	R04	ambiguous	DA_D_14	46.5903215131
DA_MAG_00041	R05	colonization	DA_D_08	283.20995827400003
DA_MAG_00042	R01	ambiguous	DA_D_09	0.00518697665084
DA_MAG_00042	R02	ambiguous	DA_D_10	0.00197826654394
DA_MAG_00042	R03	ambiguous	DA_D_15	0.007973393748510001
DA_MAG_00042	R04	ambiguous	DA_D_14	1.39340804794
DA_MAG_00042	R05	ambiguous	DA_D_08	0.0008947594452969999
DA_MAG_00043	R01	colonization	DA_D_09	6.132216791649999
DA_MAG_00043	R02	ambiguous	DA_D_10	1.8556652132700002
DA_MAG_00043	R03	no_colonization	DA_D_15	6.11024599397
DA_MAG_00043	R04	ambiguous	DA_D_14	3.4206509525
