bins	DA_D_01	DA_D_02	DA_D_03	DA_D_04	DA_D_05	DA_D_06	DA_D_07	DA_D_08	DA_D_09	DA_D_10	DA_D_11	DA_D_12	DA_D_13	DA_D_14	DA_D_15	DA_D_16	DA_D_17	DA_D_18	DA_D_19	DA_D_20	DA_D_21	DA_D_22	DA_D_23	DA_D_24	DA_R01_CDI_P_01_PRE	DA_R01_CDI_P_02_POST	DA_R01_CDI_P_03_POST	DA_R01_CDI_P_05_POST	DA_R01_CDI_P_06_POST	DA_R01_CDI_P_08_PRE	DA_R02_CDI_C_01_PRE	DA_R02_CDI_C_02_PRE	DA_R02_CDI_C_03_POST	DA_R02_CDI_C_04_POST	DA_R02_CDI_C_05_POST	DA_R02_CDI_C_06_POST	DA_R02_CDI_C_07_POST	DA_R03_CDI_C_01_PRE	DA_R03_CDI_C_02_PRE	DA_R03_CDI_C_03_PRE	DA_R03_CDI_C_04_POST	DA_R03_CDI_C_05_POST	DA_R03_CDI_C_06_POST	DA_R03_CDI_C_07_POST	DA_R03_CDI_C_08_POST	DA_R04_UC_P_01_PRE	DA_R04_UC_P_02_PRE	DA_R04_UC_P_03_POST	DA_R04_UC_P_04_POST	DA_R04_UC_P_05_POST	DA_R04_UC_P_06_POST	DA_R04_UC_P_07_POST	DA_R04_UC_P_09_POST	DA_R05_UC_C_01_PRE	DA_R05_UC_C_02_POST	DA_R05_UC_C_03_POST	DA_R05_UC_C_04_POST	DA_R05_UC_C_05_POST
DA_MAG_00088	0.536	0.137	0.258	0.387	0.227	0.604	0.209	0.587	0.168	0.311	0.141	0.191	0.979	0.172	0.498	0.568	0.238	0.762	0.566	0.305	0.549	0.859	0.522	0.879	0.005	0.718	0.249	0.458	0.650	0.005	0.001	0.003	0.279	0.962	0.030	0.715	0.513	0.012	0.004	0.005	0.063	0.006	0.004	0.002	0.001	0.001	0.064	0.544	0.827	0.999	0.743	0.974	0.980	0.033	0.018	0.082	0.175	0.220
DA_MAG_00089	0.012	0.005	0.002	0.002	0.000	0.000	0.000	0.001	0.001	0.096	0.003	0.000	0.376	0.072	0.001	0.019	0.000	0.000	0.577	0.902	0.988	0.987	0.314	0.227	0.019	0.565	0.016	0.208	0.002	0.108	0.000	0.001	0.000	0.000	0.001	0.003	0.004	0.014	0.013	0.007	0.007	0.017	0.000	0.000	0.000	0.004	0.007	0.000	0.002	0.004	0.078	0.001	0.000	0.001	0.000	0.001	0.015	0.003
DA_MAG_00090	0.526	0.492	0.391	0.463	0.259	0.235	0.187	0.162	0.278	0.681	0.281	0.268	0.140	0.302	0.301	0.508	0.412	0.393	0.220	0.332	0.002	0.168	0.206	0.247	0.000	0.072	0.159	0.140	0.147	0.001	0.000	0.000	0.113	0.075	0.137	0.330	0.148	0.003	0.001	0.002	0.151	0.001	0.201	0.305	0.071	0.000	0.004	0.105	0.015	0.107	0.016	0.183	0.087	0.000	0.111	0.251	0.519	0.519
DA_MAG_00091	0.029	0.007	0.004	0.002	0.003	0.001	0.000	0.001	0.002	0.001	0.003	0.001	0.625	0.050	0.002	0.008	0.001	0.001	0.000	0.001	1.000	0.014	0.002	0.001	0.036	0.475	0.050	0.089	0.001	0.022	0.000	0.002	0.000	0.001	0.000	0.002	0.005	0.030	0.036	0.007	0.010	0.034	0.001	0.000	0.000	0.005	0.016	0.001	0.004	0.003	0.258	0.004	0.001	0.002	0.000	0.001	0.027	0.011
DA_MAG_00092	0.340	0.191	0.501	0.867	0.389	0.735	0.483	0.264	0.880	0.787	0.571	0.414	0.473	0.939	0.956	0.759	0.916	0.737	0.170	0.510	0.854	0.998	0.998	0.938	0.007	0.422	0.169	0.718	0.007	0.023	0.000	0.005	0.996	0.031	0.081	0.970	0.963	0.913	0.179	0.523	0.297	0.002	0.287	0.925	0.923	0.004	0.111	0.945	0.066	0.029	0.869	0.997	0.868	0.005	0.003	0.620	0.008	0.007
DA_MAG_00093	1.000	1.000	1.000	1.000	0.999	1.000	0.996	1.000	1.000	1.000	1.000	0.999	0.998	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.969	1.000	1.000	1.000	0.017	0.999	0.994	0.994	1.000	0.126	0.018	0.029	0.999	0.998	0.998	1.000	0.995	0.029	0.031	0.032	0.996	0.074	0.998	0.985	0.976	0.012	0.575	0.999	0.996	0.992	0.999	0.998	0.995	0.012	0.999	1.000	0.982	0.991
DA_MAG_00094	0.009	0.005	0.002	0.001	0.002	0.001	0.000	0.001	0.001	0.001	0.001	0.001	0.050	0.015	0.002	0.005	0.001	0.001	0.001	0.001	0.999	0.006	0.001	0.001	0.008	0.081	0.021	0.062	0.001	0.009	0.002	0.001	0.000	0.002	0.003	0.003	0.006	0.012	0.013	0.005	0.009	0.012	0.003	0.002	0.003	0.001	0.006	0.002	0.003	0.002	0.050	0.002	0.024	0.012	0.001	0.001	0.005	0.001
DA_MAG_00095	0.993	0.996	0.990	0.999	0.977	0.998	0.996	0.002	0.001	0.001	0.001	0.000	0.010	0.166	0.137	0.001	0.001	0.001	0.001	0.001	0.036	0.001	0.001	0.001	0.000	0.005	0.002	0.001	0.001	0.000	0.000	0.000	0.001	0.001	0.000	0.001	0.001	0.001	0.000	0.000	0.001	0.001	0.021	0.001	0.007	0.000	0.001	0.000	0.001	0.001	0.006	0.000	0.121	0.001	0.001	0.001	0.001	0.001
DA_MAG_00096	0.976	0.988	0.988	0.991	0.982	0.992	0.984	0.989	0.993	0.988	0.987	0.893	0.845	0.995	0.990	0.960	0.993	0.986	0.943	0.991	0.654	0.988	0.967	0.942	0.002	0.982	0.714	0.993	0.811	0.011	0.001	0.003	0.996	0.993	0.850	0.981	0.824	0.008	0.005	0.005	0.993	0.140	0.979	0.997	0.846	0.002	0.116	0.965	0.925	0.745	0.983	0.954	0.949	0.005	0.907	0.750	0.941	0.863
DA_MAG_00097	0.016	0.006	0.002	0.002	0.001	0.000	0.000	0.000	0.002	0.001	0.002	0.000	0.743	0.045	0.001	0.032	0.001	0.000	0.000	0.001	0.999	0.014	0.001	0.000	0.019	0.328	0.025	0.062	0.000	0.029	0.000	0.002	0.000	0.000	0.001	0.000	0.005	0.018	0.014	0.007	0.005	0.007	0.000	0.000	0.000	0.002	0.005	0.000	0.005	0.002	0.169	0.002	0.000	0.001	0.000	0.001	0.006	0.001
