bins	DA_D_01	DA_D_02	DA_D_03	DA_D_04	DA_D_05	DA_D_06	DA_D_07	DA_D_08	DA_D_09	DA_D_10	DA_D_11	DA_D_12	DA_D_13	DA_D_14	DA_D_15	DA_D_16	DA_D_17	DA_D_18	DA_D_19	DA_D_20	DA_D_21	DA_D_22	DA_D_23	DA_D_24	DA_R01_CDI_P_01_PRE	DA_R01_CDI_P_02_POST	DA_R01_CDI_P_03_POST	DA_R01_CDI_P_05_POST	DA_R01_CDI_P_06_POST	DA_R01_CDI_P_08_PRE	DA_R02_CDI_C_01_PRE	DA_R02_CDI_C_02_PRE	DA_R02_CDI_C_03_POST	DA_R02_CDI_C_04_POST	DA_R02_CDI_C_05_POST	DA_R02_CDI_C_06_POST	DA_R02_CDI_C_07_POST	DA_R03_CDI_C_01_PRE	DA_R03_CDI_C_02_PRE	DA_R03_CDI_C_03_PRE	DA_R03_CDI_C_04_POST	DA_R03_CDI_C_05_POST	DA_R03_CDI_C_06_POST	DA_R03_CDI_C_07_POST	DA_R03_CDI_C_08_POST	DA_R04_UC_P_01_PRE	DA_R04_UC_P_02_PRE	DA_R04_UC_P_03_POST	DA_R04_UC_P_04_POST	DA_R04_UC_P_05_POST	DA_R04_UC_P_06_POST	DA_R04_UC_P_07_POST	DA_R04_UC_P_09_POST	DA_R05_UC_C_01_PRE	DA_R05_UC_C_02_POST	DA_R05_UC_C_03_POST	DA_R05_UC_C_04_POST	DA_R05_UC_C_05_POST
DA_MAG_00118	0.270	0.077	0.125	0.196	0.165	0.789	0.268	0.114	0.154	0.373	0.334	0.490	0.880	0.116	0.257	0.296	0.207	0.372	0.184	0.136	0.704	0.271	0.131	0.798	0.004	0.851	0.913	0.144	0.545	0.002	0.002	0.000	0.371	0.897	0.091	0.723	0.401	0.006	0.004	0.002	0.172	0.540	0.481	0.069	0.025	0.000	0.050	0.493	0.590	0.919	0.038	0.003	0.305	0.007	0.677	0.809	0.702	0.874
DA_MAG_00119	0.610	0.300	0.600	0.502	0.029	0.456	0.064	0.073	0.060	0.166	0.336	0.506	0.264	0.218	0.272	0.310	0.191	0.707	0.151	0.077	0.093	0.123	0.286	0.809	0.001	0.404	0.891	0.515	0.965	0.367	0.016	0.003	0.979	0.694	0.638	0.987	0.945	0.825	0.077	0.548	0.925	0.069	0.928	0.392	0.597	0.001	0.141	0.804	0.074	0.640	0.626	0.887	0.768	0.003	0.341	0.947	0.976	0.958
DA_MAG_00120	1.000	0.975	0.986	0.998	0.813	1.000	0.999	0.986	0.999	0.993	0.999	1.000	1.000	0.999	0.999	1.000	1.000	1.000	1.000	0.997	0.096	0.842	0.999	1.000	0.026	1.000	1.000	1.000	1.000	0.011	0.189	0.075	1.000	0.997	0.997	1.000	0.998	0.056	0.045	0.008	0.976	0.998	0.914	0.340	0.280	0.011	0.999	1.000	1.000	1.000	0.992	1.000	1.000	0.169	0.998	0.999	0.989	0.997
DA_MAG_00121	0.497	0.002	0.018	0.000	0.000	0.001	0.008	0.996	0.999	0.999	0.976	0.989	0.999	0.943	0.999	1.000	1.000	1.000	0.982	0.998	0.001	0.840	0.978	0.999	0.001	0.972	0.898	0.964	1.000	0.002	0.008	0.001	0.628	0.058	0.969	0.952	0.822	0.004	0.004	0.001	0.182	0.000	0.001	0.000	0.000	0.000	0.165	0.996	0.529	0.150	0.015	0.524	0.729	0.004	0.000	0.001	0.000	0.001
DA_MAG_00122	0.069	0.024	0.012	0.005	0.002	0.000	0.000	0.001	0.001	0.001	0.001	0.001	0.041	0.068	0.005	0.005	0.001	0.001	0.000	0.000	1.000	0.009	0.003	0.001	0.098	0.050	0.150	0.081	0.116	0.020	0.200	0.007	0.005	0.003	0.159	0.007	0.022	0.102	0.207	0.052	0.831	0.829	0.780	0.754	0.786	0.007	0.114	0.009	0.016	0.005	0.352	0.009	0.027	0.799	0.008	0.833	0.837	0.834
DA_MAG_00123	0.096	0.028	0.058	0.133	0.022	0.721	0.102	0.048	0.123	0.093	0.537	0.498	0.262	0.057	0.046	0.132	0.096	0.250	0.123	0.023	0.939	0.132	0.097	0.433	0.005	0.963	0.419	0.054	0.151	0.006	0.000	0.001	0.129	0.020	0.142	0.131	0.654	0.011	0.003	0.003	0.020	0.007	0.547	0.185	0.027	0.001	0.007	0.105	0.012	0.038	0.122	0.015	0.027	0.003	0.116	0.397	0.114	0.707
DA_MAG_00124	0.566	0.692	0.669	0.677	0.422	0.327	0.234	0.785	0.321	0.287	0.181	0.161	0.129	0.187	0.281	0.200	0.534	0.451	0.840	0.570	0.001	0.757	0.450	0.132	0.183	0.117	0.068	0.145	0.109	0.060	0.106	0.131	0.197	0.295	0.072	0.114	0.033	0.189	0.047	0.029	0.121	0.062	0.081	0.072	0.120	0.088	0.090	0.004	0.005	0.014	0.146	0.010	0.020	0.035	0.058	0.233	0.295	0.162
DA_MAG_00125	0.006	0.996	0.920	0.986	0.003	0.035	0.001	0.052	0.048	0.374	0.051	0.546	0.051	0.949	0.436	0.076	0.266	0.899	0.718	0.221	0.240	0.960	0.015	0.096	0.001	0.179	0.002	0.005	0.000	0.152	0.000	0.001	0.000	0.077	0.000	0.001	0.003	0.000	0.003	0.001	0.001	0.001	0.000	0.042	0.000	0.002	0.063	0.016	0.007	0.005	0.963	0.045	0.045	0.001	0.011	0.017	0.002	0.008
DA_MAG_00126	0.009	0.626	0.086	0.039	0.001	0.007	0.066	0.457	0.850	0.385	0.194	0.176	0.022	0.056	0.349	0.692	0.702	0.990	0.052	0.745	0.082	0.503	0.074	0.077	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.496	0.000	0.000	0.001	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.984	0.001	0.000	0.000	0.000	0.002	0.020	0.001
DA_MAG_00127	0.984	0.468	0.880	0.993	0.139	0.999	0.480	0.008	0.013	0.018	0.054	0.026	0.292	0.122	0.291	0.040	0.064	0.167	0.432	0.023	0.017	0.878	0.998	1.000	0.001	0.360	0.742	0.007	0.007	0.000	0.000	0.001	0.492	0.174	0.007	0.064	0.118	0.011	0.002	0.002	0.005	0.028	0.015	0.004	0.002	0.000	0.017	0.066	0.024	0.107	0.242	0.702	0.713	0.004	0.998	1.000	1.000	1.000
DA_MAG_00128	0.032	0.016	0.008	0.009	0.004	0.011	0.003	0.004	0.006	0.006	0.007	0.007	0.917	0.122	0.007	0.077	0.006	0.010	0.004	0.005	1.000	0.026	0.007	0.014	0.053	0.849	0.065	0.097	0.010	0.052	0.000	0.006	0.005	0.006	0.004	0.011	0.014	0.030	0.040	0.014	0.010	0.011	0.008	0.006	0.005	0.009	0.013	0.009	0.007	0.012	0.532	0.007	0.006	0.006	0.001	0.010	0.016	0.014
