bins	DB_D_01	DB_D_02	DB_D_03	DB_D_04	DB_D_05	DB_D_06	DB_D_07	DB_D_08	DB_D_09	DB_D_10	DB_D_11	DB_D_12	DB_D_13	DB_D_14	DB_D_15	DB_R01_CDI_C_01_PRE	DB_R01_CDI_C_02_PRE	DB_R01_CDI_C_03_POST	DB_R01_CDI_C_04_POST	DB_R01_CDI_C_05_POST	DB_R01_CDI_C_06_POST	DB_R01_CDI_C_07_POST	DB_R02_CDI_C_01_PRE	DB_R02_CDI_C_02_PRE	DB_R02_CDI_C_03_POST	DB_R02_CDI_C_04_POST	DB_R02_CDI_C_05_POST	DB_R02_CDI_C_06_POST	DB_R03_CDI_P_01_PRE	DB_R03_CDI_P_02_PRE	DB_R03_CDI_P_03_POST	DB_R03_CDI_P_04_POST	DB_R03_CDI_P_05_POST	DB_R03_CDI_P_06_POST	DB_R03_CDI_P_07_POST	DB_R03_CDI_P_08_POST	DB_R04_CDI_P_01_PRE	DB_R04_CDI_P_02_PRE	DB_R04_CDI_P_03_POST	DB_R04_CDI_P_04_POST	DB_R04_CDI_P_05_POST	DB_R04_CDI_P_06_POST	DB_R04_CDI_P_07_POST	DB_R04_CDI_P_08_POST	DB_R04_CDI_P_09_POST	DB_R05_UC_P_01_PRE	DB_R05_UC_P_02_POST	DB_R05_UC_P_03_POST	DB_R05_UC_P_04_POST	DB_R05_UC_P_05_POST	DB_R05_UC_P_06_POST	DB_R06_UC_C_01_PRE	DB_R06_UC_C_02_POST	DB_R06_UC_C_03_POST
DB_MAG_00001	0.00377645432899	0.0025316970918	0.000513776879855	5.58734669486e-05	0.0	0.0	0.000501936145138	0.000167620400846	0.00195224113656	54.2026210576	0.0139948233788	0.000965574913923	0.00697141757646	0.0209945477117	0.00260607170675	6.47540179868e-05	0.234401219596	0.0	0.0625157491022	0.00577476332406	0.0	0.00212060158333	0.000414055692156	0.0178534228049	0.00245029204062	0.000331355560613	0.00827963375127	0.00173096740653	0.182130111173	0.00705282262764	0.00185511010958	0.0	0.0	0.0	0.0	0.0	0.000480474813462	0.00965130886371	6.27188917072e-05	0.000223123844835	0.000339681077211	0.00131099134701	0.00187194615426	0.000158739849808	0.0	0.000185751525882	0.0	5.58734669486e-05	5.56884554687e-05	0.0	0.0	0.000445507643749	0.000567430209044	0.0739231869337
DB_MAG_00002	3.40694480594	0.171801139098	4.31833244394	2.79279724662	2.01458600211	3.15003555138	7.98926382227	1.56298992202	2.19185677083	6.62772057729	1.33206443742	3.01586362229	1.16279915142	0.022506665581	0.0597815734794	0.679323152116	0.124629036972	0.0146931167001	0.0638005516644	0.0644209438589	0.00887257774411	0.0277053582983	0.0	0.021322588916	0.0367553294355	0.00564459960712	0.0561178667621	0.00313249590081	0.0125246521078	0.0032803237284	0.029273787315	0.0733570148666	0.121167927081	0.157259727677	0.0525782384836	0.0821835478776	0.066387780988	0.00111185913607	0.161955321099	0.0531540399891	0.0884485396792	0.0515138781249	0.0358843569562	0.113605927847	0.0841077330433	0.000146373783389	0.0343193207093	0.0553341369351	0.0143441460907	0.0233456490878	0.0382287608975	0.000437182624559	0.000351394016414	0.00129458402461
DB_MAG_00003	2.56238253547	4.21096444795	0.446156331243	0.576284660905	0.490205777127	1.71484358799	0.993227057717	1.3024563594	0.710272266692	1.88846910287	1.00751991304	2.71135364983	3.82713062384	0.433886539901	1.34314378205	0.0932748620985	0.43122084533	0.849004948518	0.152098263107	3.64779521389	1.26662271865	0.257790477105	0.000130097769784	0.00823763361761	0.0766363177965	0.00523359753076	0.0469054848434	0.0785214257493	0.0153611413678	0.0121174285172	0.0708229557078	1.49283174386	1.44882726465	3.66187327691	1.06699074691	0.620523578038	0.052088876859	0.0100603121037	0.611488331583	0.0152423944102	0.0282028390127	0.0178299430058	0.0191584245946	0.029185993971	0.0114477306016	0.00177727523755	2.5847920946	2.49650766071	0.0419595867431	0.867317301039	0.424734292768	0.0023421964258	0.000690653261066	0.00676202804087
DB_MAG_00004	26.8721693633	21.172770973	51.6707715229	66.224899423	40.7485681301	16.4925016235	25.9184790685	52.9533240638	22.7906636427	10.7799278848	48.4953963701	28.3546575505	24.5672248538	0.087828374523	0.518032102748	0.139391681991	0.219367734613	0.209246652145	0.629160418182	0.0901790398037	0.0140411980709	0.856936256682	0.0	0.830226349526	0.104925008434	0.00374811570406	0.0809862107564	0.0188384741542	0.103606732567	0.0257332909509	0.048018783481	0.0478541940089	0.0482980395522	0.0441068583497	0.0393072421318	0.0309244897044	0.542830509896	0.173219888805	16.6374733566	65.6531682498	18.8573559208	8.60771308389	14.5389790382	5.25843082269	4.85317371015	0.00626259041208	20.4070750072	51.2087587341	0.537808190861	11.9327172279	3.45713204795	0.0177292503184	0.00399421986735	0.0170513913076
DB_MAG_00005	8.00987096418	3.06228057242	19.4959776815	38.7701354332	48.9771121439	2.94185206468	40.7405894005	114.136434735	51.0192327385	30.9189072018	2.41483984096	24.4237515435	1.93490216833	77.3897283699	69.3641728093	65.7215255709	2.26219020617	215.783669961	0.593140399519	2.4962102831	8.00106518158	0.836514509096	0.0296470262009	1.13910525451	0.219651562108	0.00668175351339	0.173263203308	0.0541789286884	1.29416571157	0.615895591795	32.2525233402	12.1932778491	20.2348399888	29.6839686829	12.1560784849	183.514313795	6.16226829134	1.68158917913	1.75170078919	2.94173101332	62.708779285	30.6316818855	15.9874588681	27.7663184446	1.29673594159	0.124554106966	203.492358809	118.961489481	9.87581714066	250.969003462	95.1770383166	0.173431760287	0.00987624257989	0.281371920096
DB_MAG_00006	2.13315582205	1.81532856376	0.489159600245	0.0413880301171	0.000340823469253	0.00108955097129	6.7984005464e-05	0.000136419731895	0.000376283565126	0.00244968280154	0.00236566270176	0.529714431039	6.36913892046	7.12483173394	1.27158661569	0.000383962821558	159.371820788	0.0181411140162	41.6062540316	4.66669203833	6.57254006313e-05	0.0168200560495	0.0	0.0160035704025	0.00387599175338	0.000408807474717	4.53802293478	0.0162072965584	74.1804584606	0.64981212925	0.937193394394	0.000453076129438	6.75322844975e-05	0.000423940127096	0.00112885069538	6.68547030477e-05	0.00491743444174	0.00381952663256	0.000713267406164	0.235587616702	0.288063137943	0.727604577921	1.5252570744	0.0474539651163	0.000680291775607	0.000778766946312	0.000743758571405	0.00072749661661	0.00189542117559	0.000540709996946	0.00628660069131	0.0686819143573	0.478026485304	46.0488371347
DB_MAG_00007	16.8008559333	11.3850135541	6.67073277275	8.21107737597	22.5105296352	2.79936073341	5.27508682477	20.7139824903	8.71886664348	7.13138455343	11.919676897	19.8221090722	18.1981127366	73.3771256883	42.9153697728	0.00616925962228	0.807553546794	45.7826476936	104.093832737	57.9507420252	3.54816507273	53.0998102086	0.0109219484027	0.458394003891	288.52610609	24.5344952681	77.1408454161	70.4932537114	0.329268059302	0.898395052278	23.6191026138	42.8322443142	40.8262918044	50.7366576084	47.3753871128	31.5281953761	1.00205600385	0.352801440451	106.558418466	62.3741906201	176.497807955	58.824569454	148.073030155	17.1214394357	6.93851541712	0.088322463943	21.9542599468	44.7903662366	7.68254377017	4.50798604813	49.7928436755	0.16968313744	0.00714650629116	0.234737645256
DB_MAG_00008	4.57310461113	2.46231547925	0.9549153249	0.539495653897	3.82511813481	4.50719663314	6.40410389202	6.49529824902	4.6428465997	8.60706839423	3.26780594685	3.39276426612	4.86543589103	2.77810555884	4.51476145465	0.23667583677	0.471669231582	12.2335477775	21.239923953	19.5378041666	17.9883051371	11.0458679234	0.0322616057453	0.271831966315	5.39703368872	0.0018769177762	0.048014558139	0.0100218775016	0.649989166093	0.107832112686	4.47936397773	1.35247857991	3.7452198214	1.78315041779	1.31144623813	0.333033053899	2.25945828823	0.691805578455	1.93997645732	1.36599896636	2.04277193414	3.11755549242	7.70829326295	112.758531342	3.25161881588	0.0168696465186	13.6547371719	3.26698980626	15.5669619711	25.216555196	5.01343938912	0.0466182793289	0.0015060569144	0.0794707132987
DB_MAG_00009	6.58520888466	2.57163061657	5.45441422414	4.76159106024	7.33791438136	4.62622926528	2.40001593106	3.00524472606	5.75367909985	2.20099635186	3.50834884698	4.37378186559	3.82301884456	0.0135407014117	0.0622156410963	0.0484488439202	0.0690207757659	23.5774485823	240.128911805	5.49208456121	1.55692569589	4.08170161759	0.000629937583655	0.0660050061081	1.2562955496	0.00062924190438	0.00554804221938	0.00464331132204	0.0332618175038	0.00672026179802	0.0364062878276	0.0117277612206	0.0208870745573	0.0232725587919	0.0149063198288	0.0171693645109	0.0814783045461	0.0272375828206	8.08101185159	3.40709307632	10.9113913307	3.8287390674	5.77312194423	4.19987352551	0.27024148419	0.0	3.06325324674	1.58541202301	3.98283480956	3.21476836663	3.24050849981	0.00817527500202	0.000314794872009	0.00634111659306
DB_MAG_00010	19.2187416783	7.43945072712	17.0246602168	22.0254565026	30.8576926735	7.94748707441	21.8054905673	16.0162313465	28.0210423475	25.1858479881	44.9284665664	73.7189794401	33.3908150473	38.0958651069	27.4374790337	0.00107511542252	0.398412183777	48.3848887275	316.601534212	34.5337919974	29.6659309021	78.7120108592	0.00114125641957	0.438236412996	0.279747886082	0.00147066452249	0.0474339022324	0.0120839169304	0.383606110909	0.603443654787	39.1756977227	35.8826005948	12.367716709	51.2013115803	46.8490735937	76.1063054417	0.700196261521	0.358823554841	40.2002468399	81.6911621795	85.1380280472	146.579874981	72.0015445868	181.75460739	6.20250946724	0.0113857619616	64.8663480659	5.74404687797	16.5325923812	28.6182886341	69.8685605471	0.128845688299	0.0043756808632	0.120079196279
DB_MAG_00011	2.91596131733	1.15738051339	2.04192107285	5.57337327663	4.85618420597	0.459460450997	0.451065964095	0.845369955944	1.25994503254	1.20809858085	1.66374149781	8.10682596468	3.18630603793	5.37445795105	2.54734444492	0.41591414846	0.717388752216	0.0174944104887	0.173545809884	0.0374704277378	0.0107455931171	0.165706343375	0.000157753671573	0.128664104174	0.0237128401007	0.00327089921689	0.0147575677214	0.00138152384806	0.0657628412013	0.491608657689	24.4024668272	8.56141387121	23.1184541398	16.7809236504	13.3649911585	29.4356291646	0.195535937963	0.107839571329	12.2282837134	12.6639380348	114.520999582	84.745576346	2.22006322725	10.0009066905	0.174765387272	0.0104206519996	0.999659335925	13.5263380499	0.16755641135	11.4129933471	0.987113464197	0.00497264729528	0.00495640023941	0.044114425394
DB_MAG_00012	7.6450654823	1.32521797125	0.729064770017	0.493479165496	0.520310683721	1.18392338332	0.558802288184	0.823739323435	0.590945696948	0.711142453228	2.25043065234	0.265859035103	1.4956486047	0.00936595033765	0.0160291941428	0.0370769581751	0.0673664481798	0.00746810433146	0.164963344366	0.00713321811484	0.000512484548709	0.0101939553274	0.0	0.0107210822918	0.0087372711355	0.00182982962369	0.00170938394634	0.000239946682713	0.00767262581496	0.0576032632749	0.0206930397041	0.0258226085511	0.0389714978294	0.0188079467696	0.0174126662564	0.00945191548776	0.135511778406	0.0263672119471	6.03223456961	4.49444225858	48.7710341844	33.1558283663	6.86291770443	1.71910651035	1.7478571297	0.000712755008297	0.229557180286	0.969984937205	0.0536261942425	1.44089541678	0.0893947817265	0.00523395510069	0.000710865664338	0.00291336838381
DB_MAG_00013	10.8752917435	7.42580620765	8.61340708532	5.94244492055	10.8748178697	11.9370446743	4.98645199707	2.6295087413	4.18486150441	11.0310813321	1.979015051	5.14113157225	6.7060675945	4.25134312098	5.06077502771	0.00678261735316	0.0566781736618	9.30361857662	8.07123471398	8.1873505383	7.64257473324	6.05164170932	0.00317686883366	0.0331692485607	2.45487046493	0.0	0.0125030873593	0.00100997336734	0.0329849643207	0.0352954578961	0.715523529986	0.695424581316	0.712129349347	0.629303396	0.122450415573	0.940292384897	1.73066786523	0.290667941818	3.68772437205	1.85794269861	1.77911308064	1.99045359771	16.2586091853	11.6322844927	4.79510608071	0.0100600048632	6.96314889592	10.2117421131	13.3272385509	7.94865745341	3.76484756582	0.0331338276938	0.000288632199291	0.0237669230372
